CoinName,Algorithm,IsTrading,ProofType,TotalCoinsMined,TotalCoinSupply
BlitzCoin,X13,True,PoS,,
BitHIRE,Scrypt,False,PoS,,
EverGreenCoin,X15,True,PoW/PoS,,
I0coin,SHA-256,True,PoW,,
Bata,Scrypt,True,PoW,,
Nas2Coin,N/A,True,PoS,,
Pakcoin,Scrypt,True,PoW,,
DogeCoinDark,Scrypt,True,PoW,,
OKCash,SHA-256,True,PoW/PoS,0.0,0.0
Revolution VR,Scrypt,True,PoW,,
HOdlcoin,1GB AES Pattern Search,True,PoW,,
EDRCoin,SHA-256,True,PoW/PoS,,
Hitcoin,X11,True,PoW/PoS,0.0,0.0
Dashcoin,CryptoNight,True,PoW,,
DubaiCoin,SHA-256,True,PoW/PoS,,
HiCoin,Scrypt,True,PoS,,
BiosCrypto,Quark,True,PoW/PoS,,
CabbageUnit,N/A,True,PoS,,
RedCrowCoin,Scrypt,True,PoW/PoS,,
PWR Coin,NIST5,True,PoW/PoS,,
TrumpCoin,Blake,True,PoS,,
PrismChain,SHA-256,True,PoW/PoS,,
BitCrystals,Counterparty,True,N/A,,
Rubies,N/A,True,PoS,,
BillaryCoin,Scrypt,True,PoW/PoS,,
Dotcoin,Scrypt,True,PoW,,
Thecreed,QuBit,True,PoW/PoS,,
PostCoin,N/A,True,PoS,,
Influxcoin,X11,True,PoW/PoS,,
EthereumScrypt,Scrypt,True,PoW/PoS,,
NumbersCoin,Scrypt,True,PoW/PoS,,
Ionomy,N/A,True,PoS,,
GrownCoin,N/A,True,PoW/PoS,0.0,0.0
SuperNET,N/A,True,N/A,,
OldSafeCoin,N/A,True,PoS,,
SunShotCoin,X11,True,PoW,,
NetworkCoin,X13,True,PoW/PoS,,
GPU Coin,Scrypt,True,PoS,,
Think And Get Rich Coin,X15,True,PoW/PoS,0.0,0.0
HempCoin,Scrypt-n,True,PoW,,
Adzcoin,X11,True,PoW,,
Gapcoin,Scrypt,True,PoW/PoS,,
MayaCoin,Scrypt,True,PoW/PoS,,
InvisibleCoin,N/A,True,PoS,,
VirtaCoin,Scrypt,True,PoW,,
SoilCoin,Dagger,True,PoW,,
YoCoin,Scrypt,True,PoW,0.0,0.0
VapersCoin,Scrypt,True,PoW,,
AlpaCoin,SHA-256,True,PoW,,
Steps,N/A,True,PoS,,
DebitCoin,N/A,True,N/A,,
Universal Currency,SHA-256,True,PoW/PoS,,
MoinCoin,N/A,True,PoW/PoS,0.0,0.0
EuropeCoin,X11,True,PoW/PoS,,
AdvancedInternetBlock,Scrypt,True,PoW,,
PrimeChain,N/A,True,PoS,,
BERNcash,X14,True,PoW/PoS,,
BigUp,N/A,True,PoS,,
RevolverCoin,X11Evo,True,PoW,,
PepeCoin,X11,True,PoW/PoS,0.0,0.0
DragonSphere,X11,True,PoW/PoS,,
Anti Bitcoin,SHA-256,True,PoW,,
BreakoutCoin,SHA-256,True,PoW/PoS,,
ColossusCoinXT,X11,True,PoS,,
Mineum,X13,True,PoW/PoS,,
ZeitCoin,Scrypt,True,PoS,,
2GiveCoin,Scrypt,True,PoW/PoS,,
Cryptographic Anomaly,Scrypt,True,PoW,,
SwingCoin,SHA-256,True,PoW/PoS,,
Nebuchadnezzar,PoS,True,PoS,,
AcesCoin,X11,True,PoS,,
Francs,Scrypt,True,PoW,,
Aiden,ScryptOG,False,PoW,,
Pulse,SHA-256D,True,PoS,,
Number7,Scrypt,True,PoW,,
Cygnus,X11,True,PoW/PoS,,
LGBTQoin,X11,True,PoW,,
Uther,Dagger,True,PoW,,
MediumProject,PoS,True,PoW,,
KATZcoin,SHA-256D,True,PoW/PoS,,
Supreme,Scrypt,True,PoW/PoS,,
Mojocoin,PoS,True,PoS,,
Bela,N/A,True,N/A,,
BolivarCoin,X11,True,PoW,0.0,0.0
CludCoin,Scrypt,True,PoW,,
DimeCoin,Quark,True,PoW,0.0,0.0
High Voltage Coin,SHA-256,True,PoW/PoS,,
GIZMOcoin,X11,True,PoW/PoS,,
GrexitCoin,N/A,True,PoS,,
Carboncoin,Scrypt,True,PoW,,
DigiEuro,Scrypt,True,PoW,,
Turron,N/A,True,PoS,,
LemonCoin,N/A,True,PoW,,
Dark Lisk,X11,True,PoW/PoS,0.0,0.0
NevaCoin,N/A,True,PoW/PoS,,
Cryptokenz,PoS,True,PoS,,
Fuzzballs,Scrypt,True,PoW,,
Nukecoinz,Scrypt,True,PoW,,
SecretCoin,X11,True,PoW/PoS,,
Ratecoin,X11,True,PoW/PoS,0.0,0.0
XanaxCoin,Scrypt,True,PoW,,
Stakerush,PoS,True,PoS,,
WMCoin,X11,True,PoS,,
GothicCoin,Scrypt,True,PoW,,
FlavorCoin,SHA-256,True,PoW/PoS,,
ShrekCoin,Scrypt,True,PoW/PoS,,
Revenu,SHA-256,True,PoW/PoS,,
PabyosiCoin,X11,True,PoW/PoS,,
ExitCoin,Scrypt,True,PoW/PoS,,
EducoinV,Scrypt,True,PoW/PoS,,
Clinton,SHA-256,True,PoW,,
Clockcoin,SHA-256,True,PoW/PoS,,
VIP Tokens,NIST5,True,PoW/PoS,,
NXEcoin,NIST5,True,PoW/PoS,,
ZoomCoin,Lyra2RE,True,PoW,,
DT Token,N/A,True,N/A,,
YobitVirtualCoin,SHA-256,True,PoS,,
OrlyCoin,X15,True,PoW/PoS,,
KubosCoin,Scrypt,False,PoW/PoS,,
InceptionCoin,X11,True,PoW/PoS,,
SharkCoin,SHA-256,True,PoW,,
EvilCoin,X11,True,PoW/PoS,,
OmegaCoin,X15,True,PoW/PoS,,
MonetaryUnit,Quark,True,PoW,0.0,0.0
CobraCoin,Scrypt,True,PoW/PoS,,
BitSend,XEVAN,True,PoW/PoS,0.0,0.0
Destiny,Scrypt,True,PoW/PoS,,
16BitCoin,NIST5,True,PoW/PoS,,
Project Decorum,N/A,True,N/A,,
CometCoin,Scrypt,True,PoW,872830.0,0.0
ChessCoin,Scrypt,True,PoW/PoS,,
ReeCoin,Scrypt,True,PoW/PoS,,
Liquid,N/A,True,N/A,,
Marvelous,Scrypt,True,PoW,,
GenesysCoin,SHA-256,True,PoW/PoS,,
TrollTokens,SHA-256,False,PoW/PoS,,
Let it Ride,POS 3.0,True,PoS,,
ScryptCoin,Scrypt,True,PoW,,
Specie,PoS,True,PoS,,
CryptoJacks,X13,True,PoW/PoS,,
PutinCoin,Scrypt,True,PoW/PoS,,
Kraken,SHA-256,True,PoW/PoS,0.0,0.0
Dlisk,N/A,True,DPoS,,
iBankCoin,Scrypt,True,PoW/PoS,,
Voyacoin,N/A,True,PoW,,
EnterCoin,N/A,True,N/A,,
World Gold Coin,SHA-256,False,PoW,,
BitMoon,X13,True,PoS,,
Frankywillcoin,Scrypt,True,PoW/PoS,,
Psilocybin,SHA-256D,True,PoW/PoS,,
ExtremeCoin,Scrypt,True,PoW/PoS,,
RustCoin,Scrypt,True,PoW/PoS,,
NewZealandCoin,Scrypt,True,PoW,,
Xaurum,N/A,True,N/A,0.0,0.0
BitFinex Tokens,N/A,True,N/A,,
Uniqredit,SHA-256D,True,PoW,,
ChronosCoin,Scrypt,True,PoW/PoS,,
Decent,N/A,True,PoS,0.0,0.0
MudraCoin,X13,True,PoS,,
WarpCoin,PoS,True,PoS,,
Coinomat,N/A,True,N/A,,
Lutetium Coin,X11,True,PoS,,
Heat Ledger,N/A,True,PoS/PoP,,
Iconomi,N/A,True,N/A,,
ExaByte (EXB),SHA-256,True,PoW,0.0,0.0
Cryptodex,N/A,False,N/A,,
ReturnBit,Scrypt,True,PoW,,
deCLOUDs,N/A,False,PoS,,
GoldBlocks,X11,True,PoW/PoS,,
Syndicate,X11,True,PoW/PoS,,
Mass Coin,N/A,False,N/A,,
Jewels,POS 3.0,True,N/A,0.0,0.0
MollyCoin,Scrypt,True,PoW/PoS,,
Trigger,N/A,True,N/A,,
bitCNY,N/A,True,N/A,20723205.0,21000000.0
bitUSD,N/A,True,N/A,,
Autumncoin,X11,True,PoW/PoS,,
Save The Ocean,X11,True,PoW/PoS,,
Sense,N/A,False,N/A,,
CarterCoin,Scrypt,True,PoW/PoS,,
TotCoin,Scrypt,True,PoW/PoS,,
Bitcloud,Scrypt,True,PoW/PoS,,
ArkDAO,N/A,False,N/A,,
MedicCoin,Scrypt,True,PoW/PoS,,
FuturePoints,X11,True,PoS,,
Zeta2Coin,Quark,True,PoW/PoS,,
CovenCoin,SHA-256,True,PoW/PoS,,
Karbo,CryptoNight,True,PoW,0.0,0.0
Tellurion,X11,True,PoW/PoS,,
EneCoin,X13,True,PoW/PoS,,
TDFB,SHA-256D,True,PoW/PoS,,
BlockPay,N/A,False,N/A,,
BitTokens,SHA-256,True,PoW/PoS,,
ZayedCoin,SHA-256,True,PoW,,
Goonies,Scrypt,True,PoW,,
Veltor,N/A,True,PoW,,
ZoneCoin,Scrypt,True,PoW/PoS,,
DarkGold,X13,True,PoW/PoS,,
TodayCoin,Scrypt,True,PoW,,
Verium,N/A,True,PoWT,,
RootCoin,Scrypt,True,PoW/PoS,,
FirstBlood,N/A,True,N/A,0.0,0.0
Gold Pressed Latinum,N/A,True,PoW/PoS,,
DopeCoin,Scrypt,True,PoW,,
B3 Coin,X11,True,PoW/PoS,,
FCoin,Scrypt,True,PoW/PoS,,
Pioneershares,X11,True,PoW/PoS,,
PROUD Money,X11,True,PoW/PoS,,
Samsara Coin,QuBit,True,PoW/PoS,,
Ubiqoin,Progressive-n,True,PoS,,
Armory Coin,Scrypt,True,PoW/PoS,,
ERBCoin,Scrypt,False,N/A,,
Lazarus,DPoS,True,DPoS,,
FonzieCoin,SHA-256,True,PoW/PoS,,
BitCurrency,Scrypt,True,PoS,,
FaucetCoin,X13,False,PoS,,
Save and Gain,SHA-256,True,PoW,,
SteamPunk,PoS,False,PoS,,
Dark Moon,Scrypt,True,PoW/PoS,,
DollarCoin,SHA-256,True,PoW,,
Sentaro,Scrypt,True,PoW/PoS,,
Wexcoin,N/A,True,PoS,,
Lathaan,PoS,True,N/A,,
BitBronze,Scrypt,True,PoW,,
Shilling,Scrypt,True,PoW,,
BuzzCoin,SHA-256D,True,PoW/PoS,,
PSIcoin,X11,True,PoS,,
NoLimitCoin,SHA-256D,True,PoW/PoS,,
PesoBit,Scrypt,True,PoW/PoS,,
Beats,X11,True,PoW/PoS,,
Fitcoin,X11,True,PoW/PoS,,
PantherCoin,Scrypt,True,PoW/PoS,,
FireCoin,X15,True,PoW/PoS,,
Unfed Coin,Scrypt,True,PoW,,
SportsCoin,X11,True,PoS,,
Peerplays,N/A,True,N/A,0.0,0.0
NineElevenTruthCoin,Scrypt,True,PoW/PoS,,
EGOcoin,PoS,True,PoS,0.0,0.0
RCoin,SHA-256,True,N/A,,
X2Coin,N/A,True,N/A,0.0,0.0
Tianhe,Lyra2RE,True,N/A,,
GBR Coin,Scrypt,True,PoW,,
UPcoin,X13,True,PoS,,
Halloween Coin,X11,True,PoW/PoS,,
BaseballCardCoin,Scrypt,True,PoW/PoS,,
EmiratesGoldCoin,SHA-256,False,PoW,,
BighanCoin,Quark,True,PoW,,
Craftcoin,Scrypt,True,PoW/PoS,,
OlympCoin,X11,True,PoW/PoS,,
DelightPay,X13,True,PoW/PoS,0.0,0.0
Hacker Gold,N/A,True,N/A,,
AntiLitecoin,Scrypt,False,PoW,,
JobsCoin,X11,True,PoW/PoS,,
DogeGoreCoin,X11,True,PoW/PoS,,
The Hempcoin,Scrypt,True,PoW/PoS,0.0,0.0
Tetra,Scrypt,False,PoW,,
Resumeo Shares,NIST5,True,PoS,,
FujiCoin,Scrypt-n,True,PoW,,
Vaporcoin,SHA-256,True,PoW/PoS,,
